page_number,char_count,myanmar_char_count,myanmar_char_ratio,avg_word_confidence,empty_page,suspicious_page,has_error
1,127,92,0.724,0.878,False,False,False
2,0,0,0.0,,True,True,False
3,1,0,0.0,0.613,False,True,False
4,278,254,0.914,0.986,False,False,False
5,3128,2810,0.898,0.988,False,False,False
6,2058,1392,0.676,0.983,False,False,False
7,760,666,0.876,0.981,False,False,False
8,1161,1002,0.863,0.963,False,False,False
9,1727,1512,0.876,0.98,False,False,False
10,2323,2110,0.908,0.989,False,False,False
11,2271,2075,0.914,0.992,False,False,False
12,2429,2223,0.915,0.991,False,False,False
13,2368,2163,0.913,0.989,False,False,False
14,2360,2153,0.912,0.985,False,False,False
15,2438,2235,0.917,0.993,False,False,False
16,2332,2134,0.915,0.985,False,False,False
17,2440,2247,0.921,0.994,False,False,False
18,2483,2277,0.917,0.992,False,False,False
19,1032,945,0.916,0.981,False,False,False
20,1877,1704,0.908,0.994,False,False,False
21,2363,2147,0.909,0.98,False,False,False
22,2236,2055,0.919,0.994,False,False,False
23,2006,1829,0.912,0.99,False,False,False
24,2866,2609,0.91,0.988,False,False,False
25,2910,2681,0.921,0.99,False,False,False
26,3119,2879,0.923,0.99,False,False,False
27,3073,2833,0.922,0.989,False,False,False
28,3087,2803,0.908,0.982,False,False,False
29,3060,2765,0.904,0.969,False,False,False
30,3250,2902,0.893,0.939,False,False,False
31,3094,2809,0.908,0.946,False,False,False
32,3292,2942,0.894,0.943,False,False,False
33,2594,2378,0.917,0.986,False,False,False
34,2170,1971,0.908,0.974,False,False,False
35,2245,2026,0.902,0.943,False,False,False
36,2586,2354,0.91,0.979,False,False,False
37,2924,2646,0.905,0.983,False,False,False
38,2966,2691,0.907,0.99,False,False,False
39,3022,2745,0.908,0.989,False,False,False
40,3176,2914,0.918,0.982,False,False,False
41,3034,2780,0.916,0.988,False,False,False
42,3116,2846,0.913,0.986,False,False,False
43,2911,2658,0.913,0.983,False,False,False
44,3123,2833,0.907,0.988,False,False,False
45,2942,2651,0.901,0.98,False,False,False
46,2959,2696,0.911,0.989,False,False,False
47,2710,2491,0.919,0.985,False,False,False
48,2771,2517,0.908,0.981,False,False,False
49,3050,2780,0.911,0.986,False,False,False
50,3125,2891,0.925,0.986,False,False,False
51,2792,2546,0.912,0.986,False,False,False
52,2981,2701,0.906,0.985,False,False,False
53,2707,2450,0.905,0.984,False,False,False
54,2941,2674,0.909,0.99,False,False,False
