label	count
RoyalAuthority	6219
Monarch	1937
MilitaryCommander	1390
CourtOfficial	859
MilitaryUnit	617
RoyalPrince	588
SacredObject	569
RoyalPatron	523
ReligiousAuthority	429
RoyalCenter	405
RoyalKin	338
MilitaryForce	314
MilitaryForceScale	296
RoyalConsort	296
RoyalCommander	290
SacredSite	280
ProvincialOfficial	274
KonbaungMonarch	239
CourtTitle	235
CourtElite	234
RoyalKinship	225
MilitaryForceComposition	223
RoyalOffspring	216
PalaceSacredThreshold	214
SacredObjectCentralization	212
RoyalMilitaryForce	202
RoyalAgent	199
RoyalMilitaryUnit	196
ProvincialGovernor	189
TributaryRuler	188
CourtTitlePatronage	178
RoyalBody	175
RoyalPrincess	173
CourtTitleRecipient	171
RoyalSovereign	169
MilitaryCommanders	167
RitualLegitimation	167
RoyalMilitaryCommander	158
RoyalHousehold	156
LocalSecurityOfficials	144
RoyalOfficial	141
RoyalRegalia	140
RoyalCapital	138
RoyalMonarch	132
RoyalCommand	130
MilitaryPersonnel	113
ReligiousInfrastructure	112
EnemyCommander	106
RebelLeader	106
ProvincialCenter	105
ReignDuration	105
MilitaryOfficial	103
AppanageTown	102
EnemyForce	98
StrategicLocation	97
ColonialMilitaryForce	91
ReligiousElite	89
DynasticSuccessor	88
RitualSpace	87
EnemyMilitaryForce	86
DynasticStatusProduction	85
MonasticRecipient	84
ForeignMonarch	83
EliteIncorporation	82
RoyalLineage	78
RoyalSuccessor	78
CourtBureaucracy	76
LocalElite	76
RoyalRetinue	76
ForeignPower	75
MonasticElite	75
RoyalServitor	75
SacredArchitecture	75
SubjectPopulation	75
CapitalCity	74
DynasticRival	72
ForeignDiplomaticMission	70
MilitaryCommand	70
RoyalArchive	70
RitualSpecialists	69
ChronologicalMarker	68
CourtOfficials	67
RoyalPatronage	67
RoyalPersonage	66
LocalOfficial	65
RitualSpecialist	65
SacredSpace	65
RoyalElite	64
AdministrativeOfficial	62
DiplomaticEnvoy	62
King	62
DynasticSuccessionDuration	61
ForeignMilitaryForce	60
RoyalConcubine	60
DynasticStatus	56
FrontierTown	56
MilitaryEquipment	55
RebelForce	55
ReligiousLegitimation	55
RoyalPrinceCommander	55
RoyalRitual	54
ForeignMilitaryCommander	53
KonbaungKing	53
ReligiousArchitecture	53
ReligiousInstitution	53
MilitaryTechnology	52
RivalMonarch	52
RoyalSacra	52
HighRankingOfficial	51
MilitaryLogistics	51
RivalElite	51
RoyalMilitaryCommanders	51
SacredRoyalSymbol	51
TributaryElite	51
FrontierPolity	50
MilitaryPosition	50
ColonialAuthority	49
AppanageReward	48
RivalPolity	48
ForeignRuler	47
ProvincialElite	47
ReligiousLegitimacy	47
ReligiousSite	47
RivalMilitaryForce	47
AdministrativeCenter	46
FrontierRuler	46
SacredInfrastructure	46
EnemyMilitaryUnit	45
ReligiousInspectionBureaucracy	45
RoyalMilitaryCommand	45
MilitaryResource	44
RoyalTitle	44
SacredGeography	44
RoyalTransport	43
CrownPrince	42
CourtAppointee	41
SacredReliquary	41
BureaucraticOfficial	40
CosmicOmen	40
MilitaryServiceGroup	40
RoyalEncampment	40
RoyalIdentity	40
RoyalPerson	40
CourtServitor	38
DiplomaticEnvoys	38
RoyalLegitimacy	38
RoyalMilitaryAuthority	38
EnemyCombatant	37
ForeignDiplomaticAgent	37
PoliticalCenter	37
