label	count
BESTOWS_COURT_TITLE_ON	1042
COMMANDS_MOBILIZATION_OF	155
GRANTS_APPANAGE_TO	139
APPOINTS_TO_OFFICE	102
BESTOWS_ECCLESIASTICAL_TITLE_ON	100
COMMISSIONS_SACRED_ICONOGRAPHY	96
RULES_APPANAGE	82
COMMANDS_MILITARY_UNIT	70
RECEIVES_COURT_TITLE	70
WAS_ASSIGNED_TITLE	64
HELD_ROYAL_POWER_FOR	61
BESTOWS_REGALIA_ON	57
REIGNED_FOR	54
ENCAMPS_AT	53
CENTRALIZES_SACRED_OBJECTS_AT	48
COMMISSIONS_SACRED_REPRESENTATION_OF	48
GRANTS_AMNESTY_TO	48
HELD_REIGN_FOR	48
IS_GRANTED_COURT_TITLE	48
ATTACKS	44
COMMANDS_MILITARY_FORCE	43
COMMANDS	38
EQUIPPED_WITH	37
APPOINTS_AS_COMMANDER	36
RETREATS_TO	36
PRESENTS_RITUAL_GIFT_TO_KING	34
PRODUCES_ROYAL_OFFSPRING	34
SUBMITS_TRIBUTE_TO	34
APPOINTS_COMMANDER	33
DIED_IN_CHILDHOOD	33
DISPATCHES_RELIGIOUS_AUTHORITY_TO	33
GRANTS_TOWN_GOVERNORSHIP_TO	33
SIRED_OFFSPRING	32
STATIONED_AT	31
GRANTS_PROPHECY_TO	29
SUPERVISES_CONSTRUCTION_OF	29
BORN_TO	28
ESTABLISHES_MILITARY_CAMP_AT	28
INTEGRATES_PROVINCE_INTO_SASANA_ORDER	27
MOBILIZES_MILITARY_FORCE	27
PRESCRIBES_DRESS_CODE_FOR	27
PRODUCES_OFFSPRING_WITH	27
APPOINTED_AS	26
GRANTS_SANCTUARY_TO	26
LEGITIMATES_KINGSHIP_THROUGH_SACRA	26
ASSIGNED_APPANAGE	25
HOLDS_OFFICE_OF	24
PAYS_HOMAGE_TO	24
RETREATS_FROM	24
BESTOWS_PATRONAGE_ON	23
HAD_CHILD	23
PERFORMS_FUNERAL_RITES_FOR	23
PRODUCED_ROYAL_OFFSPRING	23
RECEIVES_ANNUAL_SALARY_OF	23
RESIDES_IN	23
BESTOWS_AUSPICIOUS_NAME_ON	22
GRANTS_REGALIA_TO	22
HAS_AGE	22
INCORPORATES_INTO_SERVICE	22
IS_GRANTED_TITLE	22
ARRIVES_AT	21
BESTOWS_ECCLESIASTICAL_TITLE	21
MARCHES_TO	21
OFFERS_TRIBUTE_TO	21
REPORTS_TO	21
ADMINISTERS_OATH_OF_ALLEGIANCE_TO	20
COMMANDS_CONSTRUCTION_OF	20
COMMISSIONS_SACRED_DIORAMA_OF	20
CONSULTS_WITH	20
ENGAGES_IN_COMBAT_WITH	20
MOBILIZES_MILITARY_UNIT	20
OFFERS_MONASTERY_TO	20
ORDERS_CONSTRUCTION_OF	20
COMMANDS_MILITARY_UNITS	19
ESTABLISHES_TEMPORARY_RITUAL_STOP_AT	19
BESTOWS_COURT_REGALIA_ON	18
BESTOWS_REWARD_ON	18
COMMANDS_DEFENSIVE_UNIT	18
COMMANDS_MILITARY_FORCE_OF	18
COMMANDS_MUSKET_UNIT	18
CONTAINS_MILITARY_UNIT	18
DELEGATES_MILITARY_COMMAND_TO	18
PERFORMS_RITUAL_HOMAGE_AT	18
RECEIVES_SUCCESSIVE_COURT_TITLES	18
SENDS_TRIBUTE_TO	18
SERVES_AS_SITE_FOR	18
CAPTURES	17
COMMEMORATES_RELIC_WORSHIP_WITH	17
CONSTRUCTS	17
ENTERS	17
IS_DAUGHTER_OF	17
ORDERS_MOBILIZATION_OF	17
PARTICIPATE_IN_ROYAL_PROCESSION	17
RECEIVES_REVENUE_FROM	17
STATIONS_TROOPS_AT	17
APPOINTS_AS_THWE_THAUK_GYI	16
ASSIGNED_TO_OFFICE	16
BESTOWS_ROYAL_REGALIA_ON	16
COMMISSIONS_FOR_RITUAL_DISPLAY	16
CONQUERS	16
CONTAINS_SACRED_OBJECTS	16
MARRIED_TO	16
PERFORMS_MISSIONARY_WORK_IN	16
PERFORMS_RITUAL_LEGITIMATION	16
PRESENTS_TRIBUTE_TO	16
APPOINTED_TO_OFFICE	15
COMMANDS_DEFENSE_OF	15
DEPARTS_FROM	15
IS_MEMBER_OF	15
PERFORMS_RITUAL_AT	15
RULED_APPANAGE_CITY	15
RULES_AS_APPANAGE	15
APPOINTS_AS_OFFICIAL	14
APPOINTS_MILITARY_COMMANDER	14
ATTACKED	14
CLAIMS_SOVEREIGNTY_OVER	14
DESIGNATES_CAMP_WITH_AUSPICIOUS_TITLE	14
REALLOCATES_APPANAGE_TO	14
SUBMITS_TO	14
SUBMITS_TO_ROYAL_AUTHORITY	14
APPOINTS_OFFICIAL	13
ASSUMES_ROYAL_TITLE	13
BESTOWS_COURT_TITLE_AND_REGALIA_ON	13
COMMANDS_ARTILLERY_UNIT	13
COMMANDS_FORCE_OF	13
COMMISSIONS_CONSTRUCTION_OF	13
CONSTRUCTS_RELIGIOUS_INFRASTRUCTURE	13
CONSTRUCTS_SACRED_ARCHITECTURE	13
DAUGHTER_OF	13
GRANTS_FIEF_TO	13
GRANTS_ROYAL_WEALTH_TO	13
IS_APPOINTED_AS	13
IS_NAMED	13
PERFORMS_RITUAL_OFFERING_TO	13
PRODUCES_DYNASTIC_HEIR	13
BESTOWS_COURT_TITLE_AND_INSIGNIA_ON	12
BESTOWS_REWARDS_ON	12
BESTOWS_TITLE_ON	12
CONSTRUCTS_RELIGIOUS_INFRASTRUCTURE_AT	12
CONSTRUCTS_RELIGIOUS_MONUMENT	12
ESTABLISHES_FORTIFIED_CAMP_AT	12
GUARDS	12
LEGITIMATES_RULE_THROUGH	12
PROJECTS_ROYAL_PRESENCE_AT	12
REMOVES_FROM_OFFICE	12
SEIZES_MILITARY_ASSETS	12
SUFFERS_CASUALTIES	12
APPOINTS_AS_COMMANDER_IN_CHIEF	11
APPOINTS_COMMANDER_IN_CHIEF	11
ATTACKS_AND_DESTROYS	11
