r1,r2,null_model,observed,null_mean,null_sd,z,p_greater,p_two_sided,draws,q_two_sided
R11,R12,unrestricted,0.567651304928177,0.000646495806221682,0.03971784358813507,14.275820585872312,0.0005,0.001,1999,0.0015
R11,R12,ontology_stratified,0.567651304928177,0.018212279430376954,0.05740424331848936,9.571400888422318,0.0005,0.001,1999,0.0015
R11,R13,unrestricted,0.5008161121599615,-0.0009437607447749919,0.031817994361277566,15.76968891274232,0.0005,0.001,1999,0.0015
R11,R13,ontology_stratified,0.5008161121599615,0.022435721448456354,0.03929261541592313,12.174816709137765,0.0005,0.001,1999,0.0015
R11,R14,unrestricted,0.3741611832554906,0.0008411857797787172,0.03684963953182124,10.130899575105316,0.0005,0.001,1999,0.0015
R11,R14,ontology_stratified,0.3741611832554906,0.01147661604405812,0.044564228523914395,8.138468435884757,0.0005,0.001,1999,0.0015
R11,R23,unrestricted,0.641341519402264,-0.0021461103211022903,0.05411481204474949,11.891155219965343,0.0005,0.001,1999,0.0015
R11,R23,ontology_stratified,0.641341519402264,0.03493208678499104,0.07545275916234329,8.036941781181646,0.0005,0.001,1999,0.0015
R23,R24,unrestricted,0.5087760678094065,-0.0012988957759679021,0.06378746693597352,7.9964762372106835,0.0005,0.001,1999,0.0015
R23,R24,ontology_stratified,0.5087760678094065,0.043098132800833036,0.08294298927093711,5.614433951583479,0.0005,0.001,1999,0.0015
R25,R26,unrestricted,0.41823452239118425,-0.00014929499404871347,0.029946494780124476,13.971044706805378,0.0005,0.001,1999,0.0015
R25,R26,ontology_stratified,0.41823452239118425,0.032638868438337805,0.04533205190384121,8.506026922645718,0.0005,0.001,1999,0.0015
R26,R29,unrestricted,0.2909038682980999,0.0005520316479290837,0.027792877460421642,10.446987256488478,0.0005,0.001,1999,0.0015
R26,R29,ontology_stratified,0.2909038682980999,0.02304454398248775,0.03824181995956833,7.00435608448578,0.0005,0.001,1999,0.0015
R26,R21,unrestricted,0.15594898681217906,-2.6554779756203176e-05,0.026812224628730813,5.817329361950767,0.002,0.004,1999,0.004615384615384615
R26,R21,ontology_stratified,0.15594898681217906,0.015632229249545892,0.03654204820990493,3.83987117406844,0.0085,0.017,1999,0.019615384615384614
R33,R34,unrestricted,0.18833799389165806,-0.00025378475065863574,0.0244530972380219,7.712388202058798,0.0005,0.001,1999,0.0015
R33,R34,ontology_stratified,0.18833799389165806,0.007205455450241562,0.030838981437743825,5.873492897522498,0.0005,0.001,1999,0.0015
R36,R44,unrestricted,0.44533701851021934,0.0001605947049072599,0.029936353558576365,14.870763165401453,0.0005,0.001,1999,0.0015
R36,R44,ontology_stratified,0.44533701851021934,0.028021290519068275,0.04424590149550681,9.431737491743267,0.0005,0.001,1999,0.0015
R54,R52,unrestricted,0.040556426592913045,-0.00040449591795834735,0.025858593714276932,1.5840351940042365,0.068,0.136,1999,0.136
R54,R52,ontology_stratified,0.040556426592913045,0.014368200552965678,0.0371043926250745,0.7057985372397613,0.1695,0.339,1999,0.339
R76,R52,unrestricted,0.17581960848535488,0.0005908969376343198,0.03127278595304085,5.6032331692751525,0.001,0.002,1999,0.0025
R76,R52,ontology_stratified,0.17581960848535488,0.022027795181791782,0.0379600745656883,4.0514096735356215,0.003,0.006,1999,0.0075
R09,R12,unrestricted,0.28433788767468315,-0.0004799727962636288,0.040725930518462024,6.993526159993622,0.001,0.002,1999,0.0025
R09,R12,ontology_stratified,0.28433788767468315,0.022210953871420542,0.06184903320207945,4.2381735046175235,0.003,0.006,1999,0.0075
R72,R73,unrestricted,0.08422070323983208,0.0003688487882868337,0.020042070184811932,4.183792077281965,0.007,0.014,1999,0.015
R72,R73,ontology_stratified,0.08422070323983208,0.006120602935191176,0.03432609127067857,2.2752401282389583,0.028,0.056,1999,0.06
R23,R76,unrestricted,0.3046341981954108,0.0020700996104880466,0.04421614733873338,6.842841739851821,0.0005,0.001,1999,0.0015
R23,R76,ontology_stratified,0.3046341981954108,0.03709641330342752,0.05350656050584482,5.0000931168572995,0.0005,0.001,1999,0.0015
