nodes,edges,density,reciprocity,weak_components,strong_components,largest_weak,largest_strong,isolates,transitivity,average_clustering,directed_average_clustering,flow_hierarchy,reachable_pair_share,global_reaching_centralization,outdegree_centralization,indegree_centralization,bridges,articulation_points,global_efficiency,relation_id,label,occurrences,category_self_occurrences
52,56,0.021116138763197588,0.21428571428571427,25,41,28,12,24,0.21221864951768488,0.21347117794486214,0.12162480376766091,0.5178571428571428,0.14630467571644043,0.2506728181468666,0.23836985774702038,0.21837754709727028,7,4,0.14555052790346876,R01,GenealogicalDynasticAndHistoricalLegitimation,163,16
52,116,0.043740573152337855,0.22413793103448276,15,33,38,20,14,0.3198420533070089,0.38297279517867755,0.2507017091202293,0.3448275862068966,0.3088235294117647,0.24490580545943874,0.23529411764705882,0.3552479815455594,6,3,0.28104575163398793,R02,PropheticCosmicAndOmenLegitimation,354,13
52,28,0.010558069381598794,0.21428571428571427,36,49,17,4,35,0.23076923076923078,0.0655011655011655,0.05471342383107089,0.75,0.030165912518853696,0.2291426374471357,0.18915801614763553,0.08919646289888504,9,4,0.05561840120663651,R03,CoronationConsecrationAndSovereignActivation,116,0
52,49,0.01847662141779789,0.2857142857142857,23,45,30,7,22,0.0962566844919786,0.18760683760683758,0.11653439153439155,0.6938775510204082,0.11199095022624435,0.36562860438292966,0.38100730488273743,0.20107650903498656,15,2,0.16767219708396175,R04,KammaticCharismaticVirtueAndMoralKingship,183,3
52,98,0.03695324283559578,0.14285714285714285,19,43,34,10,18,0.29537366548042704,0.27395553164783937,0.16714120463167703,0.7346938775510203,0.13273001508295626,0.4244521337946944,0.46212995001922336,0.2422145328719723,8,4,0.2315233785822022,R05,ReligiousPatronageMeritAndEndowment,1192,3
52,12,0.004524886877828055,0.16666666666666666,43,51,9,2,41,0.2222222222222222,0.04487179487179487,0.04313186813186813,0.8333333333333334,0.00641025641025641,0.15340253748558247,0.11534025374855825,0.03537101114955786,6,2,0.01734539969834088,R06,EcclesiasticalAppointmentAndReligiousStatusProduction,184,1
52,22,0.008295625942684766,0.2727272727272727,38,49,15,4,37,0.22388059701492538,0.05187728937728938,0.04052481316413205,0.6818181818181819,0.021116138763197588,0.21837754709727028,0.1514801999231065,0.1114955786236063,8,4,0.041666666666666616,R07,ReligiousRegulationOrthodoxyAndMonasticDiscipline,74,5
52,57,0.021493212669683258,0.07017543859649122,22,50,31,3,21,0.2017353579175705,0.2504550633313175,0.14390674454233776,0.9122807017543859,0.07352941176470588,0.3248750480584391,0.31795463283352554,0.2579777008842753,10,5,0.18118401206636442,R08,SacredObjectAcquisitionEnshrinementAndCentralization,399,17
52,256,0.09653092006033183,0.28125,6,24,47,29,5,0.43326607091380803,0.5859285544867118,0.459499616636777,0.2265625,0.524132730015083,0.3252595155709343,0.661284121491734,0.4413687043444829,4,4,0.4774384112619394,R09,RitualPerformanceProcessionCourtSpectacleAndCenterEnactment,1658,41
52,26,0.00980392156862745,0.0,31,52,22,1,30,0.07758620689655173,0.08589039165962244,0.04294519582981122,1.0,0.011689291101055807,0.2879661668589004,0.2698961937716263,0.049980776624375244,11,5,0.08256661639014594,R10,NamingCommemorationAndSymbolicReinscription,218,0
52,142,0.053544494720965306,0.23943661971830985,14,37,39,16,13,0.33505487411233054,0.47290358523471093,0.3687215944001964,0.5633802816901409,0.24698340874811464,0.4878892733564013,0.6051518646674356,0.20530565167243367,4,3,0.3141654097536466,R11,AppointmentDelegationAndInvestiture,1775,45
52,82,0.03092006033182504,0.2682926829268293,20,38,33,15,19,0.17345597897503284,0.313945728600901,0.20247524654221663,0.524390243902439,0.18438914027149322,0.43175701653210297,0.5482506728181469,0.3883121876201461,6,2,0.22033685268979375,R12,TitleRankRegaliaAndStatusConferral,2391,6
52,106,0.03996983408748114,0.09433962264150944,15,47,38,6,14,0.21691176470588236,0.20460955899304314,0.13093683160287112,0.8962264150943396,0.10180995475113122,0.5559400230680508,0.279123414071511,0.19915417147251058,5,5,0.269645550527904,R13,OfficeholdingGovernanceAndJurisdictionalExercise,717,4
52,41,0.01546003016591252,0.1951219512195122,31,44,22,9,30,0.1702127659574468,0.15493139901034636,0.09032180547326542,0.5365853658536586,0.07654600301659126,0.3417916186082276,0.38408304498269896,0.14417531718569782,9,2,0.09891905480140782,R14,AppanageAndRevenueRightAllocation,564,6
52,111,0.0418552036199095,0.25225225225225223,11,37,42,16,10,0.2054794520547945,0.27348100617331383,0.16754970937649177,0.5855855855855856,0.26244343891402716,0.5520953479430989,0.6570549788542868,0.1972318339100346,16,4,0.34470839617898696,R15,RewardPatronageGiftAndRoyalLargesse,665,1
