triad,observed,null_mean,null_sd,z,p_greater,p_two_sided,draws,q_two_sided
003,1849.0,1733.033,42.82417332326242,2.7079798861407545,0.004995004995004995,0.00999000999000999,1000,0.015984015984015984
012,3633.0,3636.426,48.26750745870638,-0.0709794265413628,0.5454545454545454,0.9250749250749251,1000,0.9270729270729271
102,1543.0,1180.023,64.4368107029947,5.633068987120598,0.000999000999000999,0.001998001998001998,1000,0.003996003996003996
021D,1342.0,1507.181,49.00934763037716,-3.3703978523806537,0.999000999000999,0.003996003996003996,1000,0.007104007104007104
021U,936.0,1044.495,43.83527696395343,-2.475061355018182,0.991008991008991,0.01998001998001998,1000,0.02664002664002664
021C,755.0,861.234,61.506034144921394,-1.7272126463184079,0.9560439560439561,0.0919080919080919,1000,0.11311765157919004
111D,1032.0,874.566,43.10403231255287,3.6524193109922023,0.000999000999000999,0.001998001998001998,1000,0.003996003996003996
111U,1712.0,1707.926,57.38143561425727,0.07099857221048375,0.46353646353646355,0.9270729270729271,1000,0.9270729270729271
030T,1528.0,1920.312,107.02677883309104,-3.6655499144920825,1.0,0.001998001998001998,1000,0.003996003996003996
030C,39.0,74.001,15.041983255550456,-2.3268873130200247,0.995004995004995,0.015984015984015984,1000,0.02324947779493234
201,974.0,784.951,57.27233817227755,3.30087798111774,0.000999000999000999,0.001998001998001998,1000,0.003996003996003996
120D,789.0,769.743,41.59881503615713,0.4629218400394825,0.3336663336663337,0.6673326673326674,1000,0.7626659055230485
120U,1899.0,1669.697,49.70708183936153,4.6130851282124965,0.000999000999000999,0.001998001998001998,1000,0.003996003996003996
120C,562.0,809.697,56.229306646320346,-4.405122786912567,1.0,0.001998001998001998,1000,0.003996003996003996
210,2306.0,2499.349,45.64279202090362,-4.236134369506791,1.0,0.001998001998001998,1000,0.003996003996003996
300,1201.0,1027.366,36.07730055887796,4.812832371330839,0.000999000999000999,0.001998001998001998,1000,0.003996003996003996
