p1,p2,source_page_support
R11,R23,262
R05,R09,215
R09,R23,204
R05,R23,161
R23,R44,150
R11,R44,149
R11,R12,142
R09,R11,140
R15,R23,122
R05,R11,120
R09,R15,111
R11,R15,109
R05,R15,100
R05,R40,96
R09,R12,96
R12,R23,93
R09,R40,91
R09,R44,76
R19,R61,76
R05,R12,75
R12,R15,74
R23,R36,74
R05,R08,73
R23,R31,73
R11,R36,72
R08,R09,70
R47,R49,70
R23,R24,69
R23,R40,67
R05,R31,65
R23,R65,62
R44,R46,61
R11,R40,61
R09,R60,60
R09,R31,59
R08,R23,58
R46,R47,57
R09,R36,56
R23,R60,55
R43,R46,55
R23,R38,54
R23,R42,54
R11,R38,54
R46,R49,53
R23,R46,52
R05,R38,52
R09,R38,52
R11,R46,52
R09,R24,52
R15,R44,50
R05,R10,49
R43,R44,49
R12,R14,49
R03,R09,48
R11,R60,48
R05,R44,48
R09,R14,48
R08,R40,48
R05,R14,47
R23,R64,46
R09,R10,46
R11,R31,45
R05,R60,45
R05,R24,45
R14,R23,44
R14,R18,44
R12,R13,43
R11,R21,43
R23,R56,43
R30,R34,42
R04,R23,42
R08,R11,41
R12,R44,41
R15,R31,41
R11,R14,41
R04,R05,41
R15,R40,40
R01,R23,40
R05,R71,40
R04,R09,40
R23,R71,40
R39,R51,40
R11,R71,39
R09,R69,39
R10,R23,39
R15,R38,39
R11,R24,39
R23,R26,38
R43,R47,38
R42,R44,37
R23,R52,37
R09,R22,37
R05,R36,37
R09,R71,37
R39,R47,36
R09,R64,36
R03,R05,35
R11,R43,35
R22,R23,35
R13,R64,35
R44,R60,35
R36,R40,35
R44,R47,34
R10,R40,34
R44,R45,34
R36,R44,34
R21,R23,34
R05,R22,33
R11,R13,33
R10,R11,33
R23,R43,33
R09,R68,32
R11,R56,32
R05,R64,32
R40,R44,32
R11,R65,32
R01,R05,32
R11,R52,31
R43,R45,31
R02,R23,30
R17,R63,30
R12,R31,30
R64,R65,30
R23,R68,30
R09,R67,30
R11,R67,30
R23,R67,29
R14,R15,29
R12,R64,29
R23,R76,29
R23,R30,29
R09,R21,29
R13,R18,29
R23,R29,29
R12,R38,28
R11,R22,28
R15,R24,28
R09,R63,28
R08,R15,27
R05,R07,27
R56,R57,27
R08,R12,27
R01,R09,27
R11,R17,27
R31,R38,27
R45,R47,27
R23,R63,27
R47,R80,26
R60,R65,26
R08,R44,26
R45,R49,26
R23,R45,26
R63,R64,26
R09,R65,26
R44,R65,26
R08,R36,26
R11,R42,26
R23,R27,25
R05,R06,25
R24,R44,25
R23,R74,25
R03,R23,25
R05,R67,25
R18,R64,25
R11,R30,25
R11,R26,24
R42,R46,24
R42,R67,24
R05,R63,24
R22,R44,24
R42,R65,24
R05,R68,24
R02,R09,24
R38,R40,24
R23,R75,23
R44,R71,23
R23,R50,23
R09,R52,23
R05,R21,23
R23,R32,23
R39,R49,23
R12,R40,23
R05,R32,23
R65,R76,23
R39,R50,23
R44,R52,23
R23,R69,23
R23,R39,23
R56,R65,22
R36,R46,22
R11,R29,22
R24,R40,22
R15,R36,22
R11,R64,22
R15,R60,22
R13,R23,22
R11,R20,22
R15,R56,22
R36,R60,22
R01,R04,22
R26,R44,22
R47,R50,22
R44,R67,22
R11,R18,22
R60,R63,21
R09,R75,21
R24,R36,21
R09,R34,21
R24,R60,21
R04,R15,21
R06,R09,21
R45,R46,21
R60,R67,21
R42,R47,21
R09,R20,21
R16,R23,21
R40,R60,21
R05,R52,21
R44,R49,21
R10,R44,21
R10,R15,21
R11,R45,21
R48,R49,20
R03,R15,20
R11,R50,20
R31,R44,20
R39,R44,20
R09,R32,20
R55,R76,20
R25,R65,20
R44,R63,20
R09,R18,20
R03,R12,20
R14,R40,20
R12,R60,20
R39,R46,20
R05,R56,20
R11,R16,20
R10,R22,20
R22,R40,19
R02,R05,19
R15,R71,19
R26,R56,19
R07,R09,19
R08,R60,19
R12,R24,19
R20,R23,19
R15,R20,19
R30,R60,19
R46,R50,19
R31,R40,19
R01,R08,19
R05,R18,19
R09,R56,18
R42,R43,18
R65,R67,18
R44,R56,18
R11,R75,18
R03,R11,18
R47,R65,18
R47,R60,18
R05,R69,18
R04,R31,18
R08,R24,18
R18,R23,18
R40,R46,17
R11,R34,17
R08,R22,17
R11,R63,17
R14,R31,17
R40,R71,17
R05,R65,17
R08,R31,17
R29,R52,17
R23,R34,17
R60,R64,17
R09,R30,17
R09,R66,17
R46,R55,17
R15,R52,17
R13,R44,17
R04,R11,17
R01,R02,17
R24,R31,17
R42,R45,17
R31,R56,17
R12,R34,16
R12,R36,16
