body,head,train_support,train_body_pairs,train_confidence,head_coverage,test_body_pairs,test_support,test_confidence
R03,R08,5,89,0.056179775280898875,0.015060240963855422,25,1,0.04
R03,R09,6,89,0.06741573033707865,0.004487658937920718,25,3,0.12
R03,R12,4,89,0.0449438202247191,0.002105263157894737,25,0,0.0
R03,R40,3,89,0.033707865168539325,0.0069767441860465115,25,2,0.08
R05,R06,6,962,0.006237006237006237,0.0392156862745098,176,0,0.0
R05,R08,7,962,0.007276507276507277,0.02108433734939759,176,1,0.005681818181818182
R05,R09,19,962,0.01975051975051975,0.014210919970082274,176,2,0.011363636363636364
R05,R15,3,962,0.0031185031185031187,0.005484460694698354,176,0,0.0
R05,R23,4,962,0.004158004158004158,0.0036199095022624436,176,1,0.005681818181818182
R05,R32,5,962,0.005197505197505198,0.07462686567164178,176,0,0.0
R05,R38,6,962,0.006237006237006237,0.03680981595092025,176,0,0.0
R05,R40,8,962,0.008316008316008316,0.018604651162790697,176,0,0.0
R05,R71,4,962,0.004158004158004158,0.027586206896551724,176,0,0.0
R06,R05,6,153,0.0392156862745098,0.006237006237006237,28,0,0.0
R08,R03,5,332,0.015060240963855422,0.056179775280898875,57,1,0.017543859649122806
R08,R05,7,332,0.02108433734939759,0.007276507276507277,57,1,0.017543859649122806
R08,R09,9,332,0.02710843373493976,0.006731488406881077,57,2,0.03508771929824561
R08,R12,4,332,0.012048192771084338,0.002105263157894737,57,1,0.017543859649122806
R08,R23,5,332,0.015060240963855422,0.004524886877828055,57,0,0.0
R08,R40,7,332,0.02108433734939759,0.01627906976744186,57,1,0.017543859649122806
R09,R03,6,1337,0.004487658937920718,0.06741573033707865,270,3,0.011111111111111112
R09,R05,19,1337,0.014210919970082274,0.01975051975051975,270,2,0.007407407407407408
R09,R08,9,1337,0.006731488406881077,0.02710843373493976,270,2,0.007407407407407408
R09,R11,3,1337,0.002243829468960359,0.0021474588403722263,270,0,0.0
R09,R12,6,1337,0.004487658937920718,0.003157894736842105,270,5,0.018518518518518517
R09,R15,4,1337,0.0029917726252804786,0.007312614259597806,270,1,0.003703703703703704
R09,R22,3,1337,0.002243829468960359,0.028037383177570093,270,0,0.0
R09,R23,7,1337,0.005235602094240838,0.006334841628959276,270,1,0.003703703703703704
R09,R38,3,1337,0.002243829468960359,0.018404907975460124,270,0,0.0
R09,R40,13,1337,0.009723261032161555,0.030232558139534883,270,3,0.011111111111111112
R09,R71,4,1337,0.0029917726252804786,0.027586206896551724,270,1,0.003703703703703704
R11,R09,3,1397,0.0021474588403722263,0.002243829468960359,358,0,0.0
R11,R12,23,1397,0.0164638511095204,0.012105263157894737,358,2,0.00558659217877095
R11,R14,3,1397,0.0021474588403722263,0.006198347107438017,358,1,0.002793296089385475
R11,R15,9,1397,0.006442376521116679,0.016453382084095063,358,1,0.002793296089385475
R11,R18,4,1397,0.002863278453829635,0.0113314447592068,358,0,0.0
R11,R23,11,1397,0.007874015748031496,0.009954751131221719,358,1,0.002793296089385475
R11,R29,4,1397,0.002863278453829635,0.06153846153846154,358,2,0.00558659217877095
R11,R36,3,1397,0.0021474588403722263,0.013452914798206279,358,1,0.002793296089385475
R11,R38,12,1397,0.008589835361488905,0.0736196319018405,358,2,0.00558659217877095
R11,R44,12,1397,0.008589835361488905,0.019543973941368076,358,1,0.002793296089385475
R12,R03,4,1900,0.002105263157894737,0.0449438202247191,452,0,0.0
R12,R08,4,1900,0.002105263157894737,0.012048192771084338,452,1,0.0022123893805309734
R12,R09,6,1900,0.003157894736842105,0.004487658937920718,452,5,0.011061946902654867
R12,R11,23,1900,0.012105263157894737,0.0164638511095204,452,2,0.004424778761061947
R12,R14,13,1900,0.006842105263157895,0.026859504132231406,452,2,0.004424778761061947
R12,R15,14,1900,0.007368421052631579,0.025594149908592323,452,8,0.017699115044247787
R12,R16,4,1900,0.002105263157894737,0.031746031746031744,452,0,0.0
R12,R18,3,1900,0.0015789473684210526,0.0084985835694051,452,0,0.0
R12,R20,5,1900,0.002631578947368421,0.06172839506172839,452,0,0.0
R12,R21,3,1900,0.0015789473684210526,0.02912621359223301,452,0,0.0
R12,R23,8,1900,0.004210526315789474,0.007239819004524887,452,1,0.0022123893805309734
R12,R75,3,1900,0.0015789473684210526,0.04477611940298507,452,1,0.0022123893805309734
R14,R11,3,484,0.006198347107438017,0.0021474588403722263,78,1,0.01282051282051282
R14,R12,13,484,0.026859504132231406,0.006842105263157895,78,2,0.02564102564102564
R14,R16,3,484,0.006198347107438017,0.023809523809523808,78,0,0.0
R14,R23,3,484,0.006198347107438017,0.0027149321266968325,78,0,0.0
R15,R05,3,547,0.005484460694698354,0.0031185031185031187,96,0,0.0
R15,R09,4,547,0.007312614259597806,0.0029917726252804786,96,1,0.010416666666666666
