triad,observed,null_mean,null_sd,z,p_greater,p_two_sided,draws,q_two_sided
003,525.0,532.8788788788788,47.09392763812671,-0.1673013756554926,0.554,0.906,999,0.9664
012,537.0,530.8388388388388,37.23611297210809,0.16546198486872823,0.442,0.884,999,0.9664
102,496.0,484.8038038038038,57.34429598582378,0.19524515915173188,0.424,0.848,999,0.9664
021D,98.0,106.22222222222223,22.262837522107063,-0.3693249889668169,0.622,0.788,999,0.9664
021U,49.0,53.350350350350354,13.788387019901876,-0.31550828563711963,0.619,0.822,999,0.9664
021C,110.0,89.43143143143143,17.690080014371976,1.1627176672947785,0.129,0.258,999,0.9664
111D,166.0,175.00500500500502,29.82085750039883,-0.3019700223202697,0.609,0.8,999,0.9664
111U,443.0,414.96496496496496,44.28684254515117,0.6330330505375915,0.265,0.53,999,0.9664
030T,39.0,47.351351351351354,13.78236492193406,-0.6059447270954585,0.731,0.604,999,0.9664
030C,2.0,5.057057057057057,2.960282806817691,-1.0326908800795958,0.914,0.398,999,0.9664
201,393.0,422.83583583583584,50.485529158223635,-0.5909779759330471,0.717,0.59,999,0.9664
120D,42.0,47.588588588588586,12.489751707112537,-0.4474539382080792,0.657,0.762,999,0.9664
120U,115.0,116.41641641641641,23.44931793878789,-0.06040330981539952,0.511,1.0,999,1.0
120C,106.0,81.87087087087087,17.320807229124146,1.3930718591773885,0.089,0.178,999,0.9664
210,435.0,478.8968968968969,36.21615108731931,-1.2120806761342162,0.893,0.22,999,0.9664
300,504.0,472.4874874874875,45.59152078103833,0.6911923965830652,0.243,0.486,999,0.9664
