entity_id,label,block,k
E01,SovereignAndReigningMonarch,1,3
E02,RoyalHeirPrinceAndDynasticClaimant,1,3
E03,QueenConsortPrincessAndRoyalWoman,1,3
E04,RoyalLineageAncestorAndDynasticCollective,2,3
E05,CourtMinisterAndCentralCivilOfficial,1,3
E06,PalaceRetainerCourtServantAndHouseholdPersonnel,2,3
E07,MilitaryCommanderAndOfficer,1,3
E08,ArmedForceMilitaryUnitGuardAndSecurityPersonnel,1,3
E09,ProvincialGovernorAndRegionalAdministrator,1,3
E10,LocalHeadmanRevenueAgentAndCommunityIntermediary,2,3
E11,CrownServiceGroupOccupationalCorpsAndDependentCommunity,2,3
E12,CommonerTaxpayerProducerAndCivilianPopulation,2,3
E13,MerchantArtisanTechnicalExpertAndInterpreter,2,3
E14,RebelBanditDefectorAndRivalPoliticalActor,1,3
E15,CaptivePrisonerHostageExileAndForciblyDisplacedPerson,0,3
E16,TributaryFrontierAndSubordinateRuler,2,3
E17,ForeignSovereignStateAndNoncolonialExternalPower,1,3
E18,ColonialAuthorityArmyCompanyAndImperialAgent,2,3
E19,EnvoyDiplomatConsulAndPoliticalBroker,2,3
E20,BuddhistMonkSayadawAndEcclesiasticalAuthority,2,3
E21,SanghaMonasticOrderAndReligiousInstitution,0,3
E22,BrahminAstrologerDivinerAndRitualSpecialist,0,3
E23,RoyalStateAgencyCouncilMinistryAndAdministrativeInstitution,1,3
E46,EthnicCollectiveAndUnspecifiedSocialGroup,2,3
E47,HereditaryOfficeholdingLineageAndBureaucraticGentry,0,3
E48,PatronClientRetainerAndPersonalFollowing,0,3
E49,DebtBondsmanSlaveAndPrivatelyAttachedDependent,0,3
E50,PoliticalFactionPatronageNetworkAffinalCoalitionAndInfluenceCircle,0,3
E51,FloatingPopulationRefugeeMigrantAndUnattachedManpower,0,3
E52,PrincelyHouseholdSubordinateCourtAndReplicaCenter,0,3
