k,seed,log_likelihood,penalized_description_score,sweeps,stopped_without_moves
2,20260911,-431.8227178108887,932.3082393019687,2,True
2,20260912,-431.8227178108887,932.3082393019687,2,True
2,20260913,-431.8227178108887,932.3082393019687,2,True
3,20260911,-369.28126299419387,865.395702213312,3,True
3,20260912,-369.2812629941939,865.3957022133121,2,True
3,20260913,-369.2812629941939,865.3957022133121,2,True
4,20260911,-347.90887623061656,887.2913055148047,2,True
4,20260912,-356.85399217726086,905.1815374080933,2,True
4,20260913,-350.1832829573731,891.8401189683177,3,True
5,20260911,-331.7972267123069,929.3730584618755,6,True
5,20260912,-337.3800931666867,940.5387913706352,1,True
5,20260913,-337.3800931666867,940.5387913706352,2,True
6,20260911,-316.37367968683594,983.9186831467058,3,True
6,20260912,-319.8855296401513,990.9423830533365,4,True
6,20260913,-316.07508961776307,983.3215030085601,4,True
