reign1,reign2,pages1,pages2,mixed_pages_excluded,null_exchangeable,observed,null_mean,null_sd,z,p_greater,p_two_sided,draws,q_greater
Alaungpaya,Naungdawgyi,203,17,0,True,0.677771925860196,0.6703132185202778,0.028724614878316835,0.25966257063897014,0.393,0.786,999,0.427
Naungdawgyi,Hsinbyushin,17,103,0,True,0.7236628513697828,0.6855110619446952,0.03107436440218815,1.2277576761119866,0.119,0.238,999,0.14544444444444443
Hsinbyushin,Singu,103,7,0,True,0.7888652203916413,0.780654525433139,0.043121292196612426,0.1904092975939941,0.427,0.854,999,0.427
Singu,1782 succession crisis,7,6,0,True,0.8813198006112749,0.803564320123601,0.038654818984793955,2.01153394401514,0.043,0.086,999,0.06757142857142857
1782 succession crisis,Bodawpaya,6,163,0,True,0.9027444735580705,0.8164731350222155,0.03462697056805227,2.4914492120038694,0.012,0.024,999,0.022000000000000002
Bodawpaya,Bagyidaw,163,173,0,True,0.5883683419643885,0.46516512101329505,0.014424211098954323,8.541418321312907,0.001,0.002,999,0.00275
Bagyidaw,1837 succession war,173,33,0,True,0.7078913598420623,0.6191020601766039,0.03081763351684257,2.881119980122192,0.001,0.002,999,0.00275
1837 succession war,Tharrawaddy,33,82,0,True,0.7563544929727005,0.6271493487990706,0.016852347337553975,7.6668930200428305,0.001,0.002,999,0.00275
Tharrawaddy,Pagan Min,82,43,0,True,0.6010998256335852,0.5733801683216221,0.016369951758049364,1.693325534593157,0.051,0.102,999,0.07012499999999999
Pagan Min,Mindon,43,209,0,True,0.6386459636941878,0.565876578550434,0.020025256613305138,3.6338802817340414,0.002,0.004,999,0.004399999999999999
Mindon,Thibaw,209,167,0,True,0.5728457932607469,0.4624974404301939,0.009748287543506666,11.319767942632758,0.001,0.002,999,0.00275
