r1,r2,lower95,upper95,median
R11,R12,0.5049255314878252,0.605927822279911,0.5554825180094296
R11,R13,0.389350007246201,0.5047962271126551,0.44909721645453465
R11,R14,0.2901450814418039,0.4011612375180671,0.3499849669088824
R11,R23,0.5518270525734986,0.627699898820611,0.5912737032698174
R23,R24,0.3981480770011277,0.4913128829700465,0.44532579367770386
R25,R26,0.2825721602850338,0.40243045789200294,0.34535095700780566
R26,R29,0.1371880407232502,0.28375161466248355,0.2146518124196802
R26,R21,0.06360801837766046,0.18431766271376435,0.12421647263801468
R33,R34,0.02550997495306067,0.24516213780071608,0.14247331246085018
R36,R44,0.33962652319172687,0.4630944789368205,0.4010144615124004
R54,R52,-0.010711276243227284,0.06928562348950464,0.024410600430465015
R76,R52,0.06901978220763087,0.189000521446337,0.1314545037887665
R09,R12,0.23065610151026072,0.3014160212171558,0.2655151122178261
R72,R73,-0.002761389793523356,0.22860900761924663,-0.0015597676580583776
R23,R76,0.19544541926848047,0.30045904513759036,0.25169293652460717
