specification,r1,r2,observed,null_mean,null_sd,z,p_greater,p_two_sided,draws,q_two_sided
without_sovereign,R11,R12,0.33332388056049245,0.012617816558296876,0.04924915605259791,6.511909841859681,0.0005,0.001,1999,0.0016666666666666666
without_sovereign,R11,R13,0.527714666083899,0.022354578181545036,0.038509594295860095,13.12296577366648,0.0005,0.001,1999,0.0016666666666666666
without_sovereign,R11,R14,0.11639036645810699,0.0065067732021584735,0.028334545164776292,3.878078600412786,0.0115,0.023,1999,0.034499999999999996
without_sovereign,R11,R23,0.5166616031733497,0.026747382398842817,0.043286064814394704,11.318058661030948,0.0005,0.001,1999,0.0016666666666666666
without_sovereign,R23,R24,0.411912173407218,0.03990863255769425,0.057053488428265374,6.520259340798277,0.0005,0.001,1999,0.0016666666666666666
without_sovereign,R25,R26,0.25820375293008335,0.03110321157608415,0.034352524472462946,6.610883620388465,0.0005,0.001,1999,0.0016666666666666666
without_sovereign,R26,R29,0.31270775323324146,0.01863429401923817,0.03298313890600988,8.915872441734766,0.0005,0.001,1999,0.0016666666666666666
without_sovereign,R26,R21,0.06895620874399282,0.011240558561976297,0.026468395057800936,2.180549672769305,0.0395,0.079,1999,0.09115384615384615
without_sovereign,R33,R34,0.08929204284221466,0.0094410715772732,0.031126694182073582,2.5653534165195437,0.026,0.052,1999,0.07090909090909091
without_sovereign,R36,R44,0.30383917694512164,0.031528929438121356,0.04484663770557134,6.072032630289493,0.0005,0.001,1999,0.0016666666666666666
without_sovereign,R54,R52,0.08944203428765551,0.009825287244219391,0.031014120191339464,2.5671128683401663,0.032,0.064,1999,0.08
without_sovereign,R76,R52,0.1769756839978791,0.016290277759745186,0.0319615668373443,5.027457103585643,0.0005,0.001,1999,0.0016666666666666666
without_sovereign,R09,R12,0.07269486623160705,0.0368654121769708,0.0815749502106614,0.4392212800879349,0.1625,0.325,1999,0.325
without_sovereign,R72,R73,0.10362268482264553,0.0036070060236127626,0.030134965263442934,3.318924642012543,0.044,0.088,1999,0.09428571428571428
without_sovereign,R23,R76,0.29812905416304797,0.0311798089671371,0.040659862165459304,6.56542425327465,0.0005,0.001,1999,0.0016666666666666666
without_sovereign_or_status_object,R11,R12,0.06624193944265834,0.005745109482383544,0.02642602547385656,2.289289776857466,0.038,0.076,1999,0.076
without_sovereign_or_status_object,R11,R13,0.4110901066683169,0.020798826731702344,0.035274725262730254,11.064332238725596,0.0005,0.001,1999,0.002142857142857143
without_sovereign_or_status_object,R11,R14,0.13404968116692048,0.0048783682814479935,0.02353828685912441,5.4877108796641405,0.0025,0.005,1999,0.0075
without_sovereign_or_status_object,R11,R23,0.5630360016894536,0.02949895634394442,0.046621138440046464,11.444101607077304,0.0005,0.001,1999,0.002142857142857143
without_sovereign_or_status_object,R23,R24,0.41441630617210723,0.036561185962941355,0.05777916483581065,6.539643161733224,0.0005,0.001,1999,0.002142857142857143
without_sovereign_or_status_object,R25,R26,0.2668242002576792,0.030164243320793656,0.03446500607120188,6.866673879237552,0.0005,0.001,1999,0.002142857142857143
without_sovereign_or_status_object,R26,R29,0.31214989467431653,0.0172525715496938,0.03289907253453143,8.963697162438043,0.0005,0.001,1999,0.002142857142857143
without_sovereign_or_status_object,R26,R21,0.07207499539350687,0.010608041383390542,0.026035470740975945,2.360892745963549,0.0325,0.065,1999,0.06964285714285715
without_sovereign_or_status_object,R33,R34,0.08888294351789104,0.011309620543788791,0.03184006511871393,2.436343100583318,0.0325,0.065,1999,0.06964285714285715
without_sovereign_or_status_object,R36,R44,0.30314906108682993,0.0313389603161205,0.04509292607233907,6.0277769585115335,0.0005,0.001,1999,0.002142857142857143
without_sovereign_or_status_object,R54,R52,0.09009796354053094,0.009422095881283735,0.030503667182980556,2.644792417098627,0.027,0.054,1999,0.06749999999999999
without_sovereign_or_status_object,R76,R52,0.1760916356648395,0.016518341500903675,0.03181553321469438,5.015578179599236,0.001,0.002,1999,0.00375
without_sovereign_or_status_object,R09,R12,0.26605664197195866,0.02357214179285193,0.051472925852898276,4.710913478516652,0.0015,0.003,1999,0.005
without_sovereign_or_status_object,R72,R73,0.10351563128891571,0.002497392076730354,0.027810091194292636,3.632431066350367,0.0245,0.049,1999,0.06681818181818182
without_sovereign_or_status_object,R23,R76,0.29923668489860383,0.02963091703989023,0.037992284885858874,7.096329390788068,0.0005,0.001,1999,0.002142857142857143
without_registers,R11,R12,0.6098407179892222,0.014381320829115569,0.055481969125360686,10.732484923429357,0.0005,0.001,1999,0.0016666666666666666
without_registers,R11,R13,0.4842943959196236,0.021865973606670804,0.041039115725969,11.267991869043472,0.0005,0.001,1999,0.0016666666666666666
without_registers,R11,R14,0.3619559157316519,0.014005328464889832,0.04747153423130123,7.329668040038497,0.0005,0.001,1999,0.0016666666666666666
without_registers,R11,R23,0.6517945786565849,0.03373027542469263,0.07442304154548215,8.304743939471683,0.0005,0.001,1999,0.0016666666666666666
without_registers,R23,R24,0.512907575569054,0.04473230369079934,0.08728620741529725,5.3636798497926845,0.0005,0.001,1999,0.0016666666666666666
without_registers,R25,R26,0.4154911731975452,0.03363508521258695,0.04567679846623628,8.359957370200135,0.0005,0.001,1999,0.0016666666666666666
without_registers,R26,R29,0.28721415394547284,0.022158977623925057,0.03577087526718446,7.40980404705681,0.0005,0.001,1999,0.0016666666666666666
without_registers,R26,R21,0.1520020636919984,0.014084409736285337,0.036126670288596154,3.8176132163292262,0.009,0.018,1999,0.020769230769230766
without_registers,R33,R34,0.19355722557234914,0.006499259863375194,0.028888823798294154,6.475098017663823,0.001,0.002,1999,0.003
without_registers,R36,R44,0.4445454308146276,0.03178510724783716,0.04580565983051654,9.011120570995512,0.0005,0.001,1999,0.0016666666666666666
without_registers,R54,R52,0.037269054135764014,0.016222352752488445,0.037241848763207776,0.5651357835937557,0.21,0.42,1999,0.42
without_registers,R76,R52,0.17386925481882787,0.019665793903290665,0.03779095509691449,4.080433016844483,0.005,0.01,1999,0.012499999999999999
without_registers,R09,R12,0.3272894763127307,0.02059069499378628,0.056133313311152996,5.463756960485836,0.002,0.004,1999,0.005454545454545454
without_registers,R72,R73,0.08528085288348432,0.0066545655701890985,0.03537694494745358,2.222529034942988,0.066,0.132,1999,0.14142857142857143
without_registers,R23,R76,0.31029248565386963,0.03589562281877205,0.051223646842535796,5.356839658031535,0.0005,0.001,1999,0.0016666666666666666
