specification,reference_component,new_component,multimode_cosine_product,relative_error,iterations
alternate_seed,1,3,0.9803902928459126,0.6814417062131829,66
alternate_seed,2,6,0.9997599488429489,0.6814417062131829,66
alternate_seed,3,2,0.1415753892221923,0.6814417062131829,66
alternate_seed,4,5,0.9300346014950805,0.6814417062131829,66
alternate_seed,5,7,0.9972443299521813,0.6814417062131829,66
alternate_seed,6,1,0.784492614352184,0.6814417062131829,66
alternate_seed,7,4,0.958912797031331,0.6814417062131829,66
without_registers,1,1,0.9757256270646286,0.6953473167416523,65
without_registers,2,4,0.8717178891992496,0.6953473167416523,65
without_registers,3,7,0.1079138488231596,0.6953473167416523,65
without_registers,4,2,0.955115273177943,0.6953473167416523,65
without_registers,5,5,0.9781483239722853,0.6953473167416523,65
without_registers,6,3,0.7896534302274666,0.6953473167416523,65
without_registers,7,6,0.9274067503046642,0.6953473167416523,65
without_title_and_identity,1,5,0.966566011730291,0.7291665604711759,44
without_title_and_identity,4,1,0.9192935157188925,0.7291665604711759,44
without_title_and_identity,5,3,0.7895082593778214,0.7291665604711759,44
without_title_and_identity,6,4,0.8288697276499984,0.7291665604711759,44
without_title_and_identity,7,2,0.6692100510632926,0.7291665604711759,44
