removed_category,remaining_nodes,remaining_edges,remaining_efficiency,baseline_efficiency
E01,51,1131,0.6941176470588235,0.719079939668175
E02,51,1144,0.7115686274509804,0.719079939668175
E03,51,1161,0.7151633986928105,0.719079939668175
E04,51,1183,0.7195424836601307,0.719079939668175
E05,51,1154,0.7137254901960784,0.719079939668175
E06,51,1184,0.7197385620915032,0.719079939668175
E07,51,1158,0.7145751633986929,0.719079939668175
E08,51,1155,0.7137254901960784,0.719079939668175
E09,51,1168,0.7165359477124184,0.719079939668175
E10,51,1181,0.7191503267973856,0.719079939668175
E11,51,1183,0.7194771241830066,0.719079939668175
E12,51,1167,0.7076470588235294,0.719079939668175
E13,51,1176,0.7181045751633988,0.719079939668175
E14,51,1168,0.7164705882352941,0.719079939668175
E15,51,1204,0.7235947712418301,0.719079939668175
E16,51,1171,0.717124183006536,0.719079939668175
E17,51,1162,0.7152941176470589,0.719079939668175
E18,51,1177,0.7183006535947712,0.719079939668175
E19,51,1172,0.7172549019607843,0.719079939668175
E20,51,1179,0.7186928104575163,0.719079939668175
E21,51,1199,0.7226143790849674,0.719079939668175
E22,51,1198,0.7225490196078431,0.719079939668175
E23,51,1150,0.7033986928104575,0.719079939668175
E24,51,1154,0.7137254901960784,0.719079939668175
E25,51,1161,0.7150980392156863,0.719079939668175
E26,51,1179,0.7186928104575163,0.719079939668175
E27,51,1175,0.717843137254902,0.719079939668175
E28,51,1191,0.7209803921568627,0.719079939668175
E29,51,1191,0.721045751633987,0.719079939668175
E30,51,1189,0.7205882352941176,0.719079939668175
E31,51,1157,0.7133986928104575,0.719079939668175
E32,51,1167,0.7162745098039216,0.719079939668175
E33,51,1182,0.7192156862745098,0.719079939668175
E34,51,1193,0.7213725490196078,0.719079939668175
E35,51,1164,0.7156862745098039,0.719079939668175
E36,51,1211,0.7249019607843137,0.719079939668175
E37,51,1184,0.7196078431372549,0.719079939668175
E38,51,1177,0.7182352941176471,0.719079939668175
E39,51,1201,0.7239215686274509,0.719079939668175
E40,51,1191,0.7209803921568627,0.719079939668175
E41,51,1162,0.7149673202614379,0.719079939668175
E42,51,1180,0.7188888888888889,0.719079939668175
E43,51,1191,0.7215032679738562,0.719079939668175
E44,51,1181,0.7190196078431372,0.719079939668175
E45,51,1183,0.7194771241830066,0.719079939668175
E46,51,1183,0.7195424836601307,0.719079939668175
E47,51,1209,0.7246405228758169,0.719079939668175
E48,51,1204,0.7237254901960785,0.719079939668175
E49,51,1224,0.7375816993464052,0.719079939668175
E50,51,1201,0.7230718954248365,0.719079939668175
E51,51,1222,0.7272549019607844,0.719079939668175
E52,51,1218,0.7275816993464052,0.719079939668175
