category,group,coordinator,itinerant,representative,gatekeeper,liaison
E01,dynasty,0,123,29,25,214
E02,dynasty,0,72,24,18,162
E03,dynasty,0,27,11,7,80
E04,dynasty,0,5,1,3,25
E05,central_court,2,38,12,24,79
E06,central_court,0,9,2,3,20
E07,military,0,56,5,1,105
E08,military,0,52,0,2,84
E09,provincial_social,29,1,26,29,12
E10,provincial_social,7,1,10,11,9
E11,provincial_social,5,0,10,5,4
E12,provincial_social,4,3,10,6,8
E13,provincial_social,5,1,12,1,0
E14,provincial_social,31,2,21,27,13
E15,provincial_social,0,0,5,0,0
E16,provincial_social,9,1,19,26,15
E17,foreign_diplomatic,0,44,7,10,71
E18,foreign_diplomatic,0,10,7,1,14
E19,foreign_diplomatic,1,7,2,7,30
E20,religious,0,1,11,5,17
E21,religious,0,0,0,0,0
E22,religious,0,0,0,0,1
E23,central_court,0,41,12,15,109
E46,provincial_social,3,1,2,13,3
E47,provincial_social,0,0,0,1,1
E48,provincial_social,5,0,1,2,1
E49,provincial_social,0,0,0,0,0
E50,provincial_social,1,0,2,1,0
E51,provincial_social,0,0,0,0,0
E52,central_court,0,0,0,0,0
