source,target,summed_directional_claims
E01,E05,1082.0
E01,E07,798.0
E01,E02,775.0
E01,E27,744.0
E01,E24,657.0
E01,E31,575.0
E01,E35,494.0
E01,E20,471.0
E01,E03,455.0
E01,E09,438.0
E01,E25,435.0
E01,E16,368.0
E01,E17,244.0
E01,E42,241.0
E01,E12,228.0
E01,E19,228.0
E01,E41,214.0
E01,E11,211.0
E01,E21,172.0
E01,E06,163.0
E01,E04,155.0
E01,E13,148.0
E01,E37,127.0
E01,E10,126.0
E01,E43,126.0
E01,E29,122.0
E01,E32,122.0
E01,E40,119.0
E01,E46,117.0
E01,E33,115.0
E01,E44,108.0
E01,E18,102.0
E01,E28,99.0
E01,E22,83.0
E01,E15,73.0
E01,E34,66.0
E01,E23,61.0
E01,E39,44.0
E01,E50,25.0
E01,E52,11.0
E01,E47,9.0
E01,E49,4.0
E01,E51,4.0
E02,E36,97.0
E05,E30,411.0
E07,E08,584.0
E07,E26,394.0
E08,E38,189.0
E08,E14,136.0
E25,E45,22.0
E30,E48,88.0
