degree_threshold,rich_club_coefficient
0,0.6583710407239819
1,0.6583710407239819
2,0.6583710407239819
3,0.6823529411764706
4,0.7069387755102041
5,0.7069387755102041
6,0.7069387755102041
7,0.7069387755102041
8,0.7069387755102041
9,0.7287414965986394
10,0.7287414965986394
11,0.7287414965986394
12,0.7287414965986394
13,0.7287414965986394
14,0.7287414965986394
15,0.7650323774283071
16,0.7650323774283071
17,0.782608695652174
18,0.8
19,0.8171247357293869
20,0.8171247357293869
21,0.8338870431893688
22,0.8338870431893688
23,0.8338870431893688
24,0.8338870431893688
25,0.8597560975609756
26,0.8597560975609756
27,0.8597560975609756
28,0.8717948717948718
29,0.8717948717948718
30,0.8717948717948718
31,0.9031746031746032
32,0.9337121212121212
33,0.958128078817734
34,0.9743589743589743
35,0.9782608695652174
36,0.9802371541501976
37,0.9913419913419913
38,0.9941520467836257
39,0.9926470588235294
40,0.989010989010989
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
