source,target,edge_disjoint_route_capacity,source_side_nodes
E01,E02,34,51
E01,E03,25,51
E01,E04,21,51
E01,E05,27,51
E01,E06,14,51
E01,E07,22,51
E01,E08,30,51
E01,E09,20,51
E01,E10,13,51
E01,E11,17,51
E01,E12,28,51
E01,E13,17,51
E01,E14,23,51
E01,E15,14,51
E01,E16,22,51
E01,E17,24,51
E01,E18,16,51
E01,E19,24,51
E01,E20,17,51
E01,E21,14,51
E01,E22,6,51
E01,E23,33,51
E01,E24,41,51
E01,E25,36,51
E01,E26,35,51
E01,E27,33,51
E01,E28,23,51
E01,E29,22,51
E01,E30,32,51
E01,E31,40,51
E01,E32,31,51
E01,E33,30,51
E01,E34,27,51
E01,E35,35,51
E01,E36,14,51
E01,E37,27,51
E01,E38,33,51
E01,E39,23,51
E01,E40,29,51
E01,E41,44,51
E01,E42,36,51
E01,E43,35,51
E01,E44,20,51
E01,E45,19,51
E01,E46,19,51
E01,E47,6,51
E01,E48,9,51
E01,E49,3,51
E01,E50,7,51
E01,E51,4,51
E01,E52,8,51
