pattern,unit,observed,null_mean,null_sd,z,p_greater,p_two_sided,draws,q_greater,q_two_sided
authorization -> authorization,path_count,842.0,849.3076538269135,5.778865956220483,-1.2645480760887613,0.9105,0.249,1999,0.9965000000000002,0.7177058823529412
authorization -> authorization,page_presence,192.0,188.05802901450724,2.635066962157439,1.4959661527027392,0.099,0.198,1999,0.9995,1.0
authorization -> execution,path_count,773.0,773.959979989995,7.814567593044804,-0.12284492757467139,0.5745,0.954,1999,0.9965000000000002,1.0
authorization -> execution,page_presence,286.0,284.74537268634316,3.1713963965070837,0.39560722054129316,0.4215,0.843,1999,0.9995,1.0
authorization -> information,path_count,56.0,56.71985992996498,2.1868569051297593,-0.3291755982187912,0.704,0.921,1999,0.9965000000000002,1.0
authorization -> information,page_presence,44.0,44.169084542271136,1.7003870231169615,-0.09943885713805857,0.6485,1.0,1999,0.9995,1.0
authorization -> coercion,path_count,97.0,94.92746373186593,3.0312422453691146,0.6837250540765342,0.315,0.63,1999,0.9965000000000002,1.0
authorization -> coercion,page_presence,49.0,49.349174587293646,1.6098850265883435,-0.21689411450308005,0.6975,1.0,1999,0.9995,1.0
authorization -> resistance,path_count,85.0,85.56478239119559,3.410177363396207,-0.16561672048433393,0.6205,0.98,1999,0.9965000000000002,1.0
authorization -> resistance,page_presence,54.0,56.30365182591296,2.2334569619395523,-1.0314287963321431,0.895,0.424,1999,0.9995,1.0
authorization -> allegiance,path_count,109.0,110.30915457728864,2.988377760132588,-0.4380820238839394,0.72,0.803,1999,0.9965000000000002,1.0
authorization -> allegiance,page_presence,65.0,65.07753876938469,1.4932248544136026,-0.05192705516218986,0.6435,1.0,1999,0.9995,1.0
authorization -> other,path_count,1212.0,1207.3741870935469,9.823367680159036,0.47089888692614124,0.354,0.708,1999,0.9965000000000002,1.0
authorization -> other,page_presence,331.0,334.7543771885943,3.932768270069565,-0.954639818767625,0.8675,0.399,1999,0.9995,1.0
execution -> authorization,path_count,262.0,270.35367683841923,4.370649587353606,-1.911312419689385,0.9795,0.077,1999,0.9965000000000002,0.5117777777777778
execution -> authorization,page_presence,61.0,66.66633316658329,2.087481662373654,-2.714434942695571,0.9975,0.017,1999,0.9995,0.41650000000000004
execution -> execution,path_count,509.0,491.9214607303652,9.06462917992254,1.8840858164901508,0.0355,0.071,1999,0.57575,0.5117777777777778
execution -> execution,page_presence,169.0,167.2361180590295,3.2278003087090035,0.5464656336426145,0.3485,0.697,1999,0.9995,1.0
execution -> information,path_count,29.0,29.7943971985993,1.3612867905177786,-0.5835634372806499,0.831,0.861,1999,0.9965000000000002,1.0
execution -> information,page_presence,18.0,18.69784892446223,1.2693942401494178,-0.5497495595852785,0.827,0.88,1999,0.9995,1.0
execution -> coercion,path_count,43.0,49.678339169584795,2.9903224025333124,-2.2333174389246806,0.9965,0.027,1999,0.9965000000000002,0.441
execution -> coercion,page_presence,22.0,27.154577288644322,1.8335702300956855,-2.811224355652485,0.9995,0.006,1999,0.9995,0.294
execution -> resistance,path_count,52.0,52.21810905452726,3.2900268239963752,-0.06629400494137166,0.5805,1.0,1999,0.9965000000000002,1.0
execution -> resistance,page_presence,32.0,32.46023011505753,1.9713397290677572,-0.233460579255494,0.687,1.0,1999,0.9995,1.0
execution -> allegiance,path_count,41.0,39.072036018009,2.779665437898957,0.6935956952604603,0.325,0.65,1999,0.9965000000000002,1.0
execution -> allegiance,page_presence,33.0,31.16808404202101,1.5611531251035213,1.1734377163402938,0.1925,0.385,1999,0.9995,1.0
execution -> other,path_count,703.0,692.5687843921961,11.065106536120302,0.9427126231232232,0.186,0.372,1999,0.9965000000000002,0.9593684210526316
execution -> other,page_presence,221.0,215.2776388194097,3.6413891501124076,1.5714775171485453,0.0735,0.147,1999,0.9995,1.0
information -> authorization,path_count,581.0,574.2361180590295,4.376463134499898,1.5455132907782116,0.0745,0.149,1999,0.658,0.6084166666666666
information -> authorization,page_presence,143.0,140.3751875937969,1.501852260556511,1.7477167862240108,0.0815,0.163,1999,0.9995,1.0
information -> execution,path_count,251.0,251.37268634317158,4.0220456472244255,-0.09266089345076606,0.5835,1.0,1999,0.9965000000000002,1.0
information -> execution,page_presence,103.0,104.86443221610806,1.9849611169790102,-0.9392789612653012,0.8815,0.49,1999,0.9995,1.0
information -> information,path_count,72.0,71.82041020510255,1.9120459072332117,0.09392546184067548,0.5625,1.0,1999,0.9965000000000002,1.0
information -> information,page_presence,43.0,42.69534767383692,1.4788239540155927,0.20600986705403834,0.559,1.0,1999,0.9995,1.0
information -> coercion,path_count,75.0,75.48874437218609,1.852614518657844,-0.2638133120861911,0.685,1.0,1999,0.9965000000000002,1.0
information -> coercion,page_presence,29.0,29.392696348174088,1.0920436083711378,-0.35959768013277676,0.7945,1.0,1999,0.9995,1.0
information -> resistance,path_count,46.0,40.202101050525265,2.7773889675864933,2.087535817683116,0.029,0.058,1999,0.57575,0.5117777777777778
information -> resistance,page_presence,28.0,25.72736368184092,1.6552783904381467,1.3729632014089912,0.1435,0.287,1999,0.9995,1.0
information -> allegiance,path_count,61.0,59.295647823911956,1.553238106875655,1.0972896998492752,0.204,0.408,1999,0.9965000000000002,0.9755454545454545
information -> allegiance,page_presence,37.0,36.00500250125062,1.0286073208539113,0.9673249242707779,0.292,0.584,1999,0.9995,1.0
information -> other,path_count,731.0,720.1310655327663,7.815235653742702,1.390736626352213,0.094,0.188,1999,0.658,0.6533333333333334
