repeat,fold,train_pairs,test_pairs,train_positives,test_positives,train_groups,test_groups
1,1,13510,3434,13098,3265,1908,423
1,2,13566,3378,13088,3275,1855,476
1,3,13566,3378,13088,3275,1858,473
1,4,13567,3377,13089,3274,1850,481
1,5,13567,3377,13089,3274,1853,478
2,1,13510,3434,13098,3265,1908,423
2,2,13565,3379,13088,3275,1860,471
2,3,13567,3377,13089,3274,1846,485
2,4,13566,3378,13088,3275,1850,481
2,5,13568,3376,13089,3274,1860,471
3,1,13510,3434,13098,3265,1908,423
3,2,13567,3377,13089,3274,1851,480
3,3,13566,3378,13088,3275,1862,469
3,4,13566,3378,13088,3275,1854,477
3,5,13567,3377,13089,3274,1849,482
4,1,13510,3434,13098,3265,1908,423
4,2,13567,3377,13089,3274,1861,470
4,3,13566,3378,13088,3275,1850,481
4,4,13566,3378,13088,3275,1846,485
4,5,13567,3377,13089,3274,1859,472
5,1,13510,3434,13098,3265,1907,424
5,2,13567,3377,13089,3274,1863,468
5,3,13566,3378,13088,3275,1856,475
5,4,13567,3377,13089,3274,1853,478
5,5,13566,3378,13088,3275,1845,486
6,1,13510,3434,13098,3265,1909,422
6,2,13567,3377,13089,3274,1856,475
6,3,13567,3377,13089,3274,1850,481
6,4,13566,3378,13088,3275,1857,474
6,5,13566,3378,13088,3275,1852,479
7,1,13510,3434,13098,3265,1908,423
7,2,13567,3377,13089,3274,1858,473
7,3,13566,3378,13088,3275,1850,481
7,4,13566,3378,13088,3275,1850,481
7,5,13567,3377,13089,3274,1858,473
8,1,13510,3434,13098,3265,1908,423
8,2,13567,3377,13089,3274,1852,479
8,3,13566,3378,13088,3275,1859,472
8,4,13567,3377,13089,3274,1854,477
8,5,13566,3378,13088,3275,1851,480
